Cereal.Name,Manufacturer,CFBAI.UNC,CFBAI.Approved,Size,Shelf,Location,Price,Serving.Size,Calories,Total.Fat,Saturated.Fat,Sodium,Potassium,Total.Carbohydrate,Dietary.Fiber,Sugar,Protein,Vitamin.A,Vitamin.C,Calcium,Iron,Vitamin.D,Vitamin.E,Thiamin,Riboflavin,Niacin,Pantothenic.Acid,Vitamin.B6,Folic.Acid,Vitamin.B12,Zinc,Magnesium,Phosphorus,Selenium,Copper,Manganese
Grape-Nuts,Post,Yes,No,20.5,2,10,5.59,58,200,1,0,280,260,47,7,5,6,0,0,0,90,0,0,40,6,45,0,80,90,0,30,10,20,0,0,0
Grape-Nuts Flakes,Post,Yes,No,18,1,10,5.59,43,150,1.5,0,200,160,34,5,7,4,40,0,0,70,10,0,50,45,40,0,60,90,100,70,8,10,0,0,0
Great Grains Cranberry Almond Crunch,Post,Yes,No,14,4,12,5.59,56,210,3,0,190,180,44,6,12,5,15,20,2,20,10,20,25,25,25,0,25,25,25,15,10,15,0,0,0
Honey Bunches of Oats,Post,Yes,No,14.5,2,8,4.99,30,120,1.5,0,135,55,25,2,6,2,15,0,0,60,10,0,25,25,25,0,25,50,25,2,4,4,0,2,0
Honey Bunches of Oats with Almonds,Post,Yes,No,14.5,3,8,4.99,32,130,2.5,0,135,65,26,2,6,2,15,0,0,60,10,0,25,25,25,0,25,50,25,2,4,6,0,4,0
Honey Bunches of Oats with Real Strawberries,Post,Yes,No,13,4,7,4.99,31,120,1.5,0,125,70,26,2,8,2,15,8,0,45,10,0,25,25,25,0,25,50,25,2,4,4,0,2,0
Honey Maid S'mores Cereal,Post,Yes,No,12.25,5,3,4.79,30,120,2.5,0.5,210,60,24,1,12,1,8,8,8,40,8,0,20,20,20,0,20,40,20,20,2,4,0,0,0
Honey Nut Cheerios,General Mills,Yes,Yes,10.8,5,4,4.49,28,110,1.5,0,160,115,22,2,9,2,10,10,10,25,10,0,25,25,25,0,25,50,25,25,6,8,0,0,0
Honey Nut Chex,General Mills,Yes,No,12.5,4,6,5.29,32,120,0.5,0,200,55,28,1,9,2,10,10,10,25,10,0,25,25,25,0,25,25,25,25,2,2,0,0,0
Honey Nut Frosted Flakes,Kellogg's,Yes,Yes,13.7,4,1,4.99,29,110,0,0,150,35,26,0,10,1,10,10,0,25,10,0,25,25,25,0,25,25,25,0,0,0,0,0,0
Honey Oh!s,Post,No,No,10.5,2,2,3.49,40,170,3,0,240,60,34,0,18,2,0,0,0,35,0,0,70,2,10,0,15,10,15,15,0,0,0,0,0
Honey Smacks,Kellogg's,No,No,NA,NA,NA,NA,42,160,0.5,0,0,90,37,2,14,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honeycomb,Post,Yes,Yes,12.5,3,2,4.49,32,130,1,0,150,45,28,0,10,2,20,0,0,15,20,0,25,25,25,0,25,40,25,10,4,4,0,0,0
Hostess Donettes Cereal,Post,No,No,11,5,2,4.79,33,150,6,5,115,25,24,0,13,0,0,0,8,25,0,0,40,0,8,4,10,4,0,8,0,2,0,0,0
Kellogg's Raisin Bran,Kellogg's,Yes,No,18.7,4,9,4.99,59,190,1,0,200,280,47,7,9,5,0,0,0,10,0,0,0,0,15,0,0,0,0,10,15,10,10,20,80
Kix,General Mills,Yes,No,12,1,3,4.99,30,110,1,0,180,70,25,3,3,2,10,10,15,45,10,0,25,25,25,0,25,50,25,25,0,0,0,0,0
Krave Chocolate,Kellogg's,No,No,11.4,5,3,4.99,53,220,6,1.5,170,NA,40,5,19,4,0,0,2,35,15,0,70,0,10,8,15,6,0,10,0,0,0,0,0
